closing_price,sentiment_score,sentiment_change,price_change,unix_time
125.52,0.03,-0.46953,0.04,1622262600
126.73,0.96906,0.93906,-0.03,1622264400
125.47,0.49953,-0.46953,-0.09,1622266200
125.71,1.91811,1.41858,-0.25,1622268000
125.81,0.03,-1.88811,0.58,1622269800
127.49,0.96906,0.93906,0.39,1622271600
125.74,1.91811,0.93906,-0.53,1622273400
124.81,2.38764,0.46953,-1.1,1622275200
124.4,0.96906,-1.41858,0.14,1622277000
123.66,0.03,-0.93906,-1.55,1622278800
123.01,1.44858,1.41858,0.39,1622280600
124.18,-0.43953,-1.88811,0.48,1622282400
123.85,-0.43953,0,0.27,1622284200
125.11,-1.38858,-0.93906,0,1622286000
124.36,1.91811,3.2967,0.27,1622287800
124.17,-1.85811,-3.76623,-0.54,1622289600
123.79,1.91811,3.76623,0.17,1622291400
125.22,-1.85811,-3.76623,0.2,1622293200
123.86,0.49953,2.35764,-0.23,1622295000
124.4,-0.43953,-0.93906,0,1622296800
124.11,-1.38858,-0.93906,0.3,1622298600
125.81,0.49953,1.88811,0.35,1622300400
124.93,0.49953,0,0.2,1622302200
125.01,0.96906,0.46953,-0.38,1622304000
124.48,1.44858,0.46953,0.08,1622305800
125.72,1.44858,0,0.04,1622307600
124.47,0.49953,-0.93906,-0.14,1622309400
125.11,0.96906,0.46953,0.11,1622311200
124.44,1.44858,0.46953,-0.04,1622313000
125.08,0.03,-1.41858,-0.45,1622343600
123.61,-0.43953,-0.46953,-0.26,1622345400
124.21,0.49953,0.93906,0.02,1622347200
123.65,0.03,-0.46953,0.08,1622349000
125.25,0.96906,0.93906,0.27,1622350800
123.35,1.91811,0.93906,-0.63,1622352600
124.18,0.49953,-1.41858,0.26,1622354400
123.87,0.03,-0.46953,0.23,1622356200
124.65,2.85717,2.82717,-0.3,1622358000
123.62,-1.85811,-4.71528,0.02,1622359800
124.56,3.3267,5.18481,0.32,1622361600
123.75,1.44858,-1.88811,-0.1,1622363400
124.75,0.49953,-0.93906,-0.19,1622365200
123.29,1.91811,1.41858,-0.25,1622367000
123.79,0.96906,-0.93906,-0.04,1622368800
122.86,0.03,-0.93906,-0.22,1622370600
122.94,0.49953,0.46953,-0.87,1622372400
121.46,0.49953,0,-0.33,1622374200
121.4,4.74528,4.24575,-0.44,1622376000
121.24,-0.43953,-5.18481,0.35,1622377800
122.61,0.96906,1.41858,0.12,1622379600
122.38,1.44858,0.46953,0.73,1622381400
122.11,2.85717,1.41858,-0.67,1622383200
120.67,1.44858,-1.41858,-0.61,1622385000
121.6,0.96906,-0.46953,-0.25,1622386800
120.28,1.44858,0.46953,-0.17,1622388600
120.56,0.96906,-0.46953,-0.17,1622390400
119.8,0.49953,-0.46953,-0.12,1622392200
121.16,0.96906,0.46953,0.14,1622394000
120.22,0.49953,-0.46953,0.09,1622395800
120.31,-2.79717,-3.2967,-0.35,1622397600
119.23,0.49953,3.2967,-0.33,1622399400
121.43,-0.43953,-0.93906,0.78,1622430000
120.54,1.44858,1.88811,0.19,1622431800
121.43,-0.90906,-2.35764,0.26,1622433600
120.22,-0.90906,0,-0.46,1622435400
121.12,0.96906,1.88811,-0.22,1622437200
119.84,0.03,-0.93906,-0.17,1622439000
120.21,-0.43953,-0.46953,-0.09,1622440800
120.62,1.44858,1.88811,0.83,1622442600
121.33,-0.43953,-1.88811,-0.4,1622444400
121.08,1.91811,2.35764,0.72,1622446200
122.47,-3.73623,-5.65434,0.67,1622448000
121.89,2.38764,6.12387,0.07,1622449800
122.27,0.49953,-1.88811,-0.7,1622451600
120.9,0.96906,0.46953,-0.21,1622453400
123.48,0.96906,0,1.7,1622455200
122.86,3.3267,2.35764,-0.02,1622457000
124.68,1.44858,-1.88811,0.51,1622458800
123.53,0.96906,-0.46953,-0.06,1622460600
123.33,0.03,-0.93906,-0.58,1622462400
123.37,-0.90906,-0.93906,0.57,1622464200
123.66,1.44858,2.35764,-0.76,1622466000
122.52,3.3267,1.88811,0.01,1622467800
123.66,3.3267,0,0.46,1622469600
122.76,0.49953,-2.82717,-0.2,1622471400
122.22,0.03,-0.46953,-1.37,1622473200
