closing-price,sentiment-score,sentiment-change,price-change,unix-time
124.48,0.96906,0,0.08,1614529800
125.72,0.96906,0,0.04,1614531600
124.47,1.44858,0.46953,-0.14,1614533400
125.11,0.96906,-0.46953,0.11,1614535200
124.44,0.96906,0,-0.04,1614537000
125.08,0.03,-0.93906,-0.45,1614567600
123.61,0.03,0,-0.26,1614569400
124.21,0.03,0,0.02,1614571200
123.65,0.03,0,0.08,1614573000
125.25,0.03,0,0.27,1614574800
123.35,0.03,0,-0.63,1614576600
124.18,0.03,0,0.26,1614578400
123.87,0.49953,0.46953,0.23,1614580200
124.65,0.49953,0,-0.3,1614582000
123.62,0.03,-0.46953,0.02,1614583800
124.56,0.03,0,0.32,1614585600
123.75,0.03,0,-0.1,1614587400
124.75,0.03,0,-0.19,1614589200
123.29,0.96906,0.93906,-0.25,1614591000
123.79,1.91811,0.93906,-0.04,1614592800
122.86,0.49953,-1.41858,-0.22,1614594600
122.94,2.85717,2.35764,-0.87,1614596400
121.46,2.85717,0,-0.33,1614598200
121.4,3.79623,0.93906,-0.44,1614600000
121.24,0.96906,-2.82717,0.35,1614601800
122.61,0.03,-0.93906,0.12,1614603600
122.38,0.96906,0.93906,0.73,1614605400
122.11,-0.90906,-1.88811,-0.67,1614607200
120.67,1.91811,2.82717,-0.61,1614609000
121.6,0.03,-1.88811,-0.25,1614610800
120.28,2.38764,2.35764,-0.17,1614612600
120.56,2.85717,0.46953,-0.17,1614614400
119.8,5.21481,2.35764,-0.12,1614616200
121.16,1.44858,-3.76623,0.14,1614618000
120.22,2.85717,1.41858,0.09,1614619800
120.31,0.96906,-1.88811,-0.35,1614621600
119.23,0.96906,0,-0.33,1614623400
121.43,0.03,-0.93906,0.78,1614654000
120.54,0.49953,0.46953,0.19,1614655800
121.43,0.49953,0,0.26,1614657600
120.22,1.44858,0.93906,-0.46,1614659400
121.12,0.49953,-0.93906,-0.22,1614661200
119.84,1.44858,0.93906,-0.17,1614663000
120.21,0.49953,-0.93906,-0.09,1614664800
120.62,0.03,-0.46953,0.83,1614666600
121.33,0.03,0,-0.4,1614668400
121.08,-1.38858,-1.41858,0.72,1614670200
122.47,0.96906,2.35764,0.67,1614672000
121.89,3.3267,2.35764,0.07,1614673800
122.27,1.91811,-1.41858,-0.7,1614675600
120.9,0.49953,-1.41858,-0.21,1614677400
123.48,0.03,-0.46953,1.7,1614679200
122.86,-1.38858,-1.41858,-0.02,1614681000
124.68,1.44858,2.82717,0.51,1614682800
123.53,-0.43953,-1.88811,-0.06,1614684600
123.33,4.27575,4.71528,-0.58,1614686400
123.37,3.79623,-0.46953,0.57,1614688200
123.66,3.3267,-0.46953,-0.76,1614690000
122.52,0.03,-3.2967,0.01,1614691800
123.66,3.79623,3.76623,0.46,1614693600
122.76,1.91811,-1.88811,-0.2,1614695400
122.22,0.96906,-0.93906,-1.37,1614697200
